numStations=3
Station 0:Brockport University
Station 1:Mees Bristol
Station 2:Webster HS
numEvents=5
Access Number: 0            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-18T19:48:34.501     437.00658692     437.00658221    437.00659162   437.00677577     437.00677118    437.00678036   437.00670798     437.00670343    437.00671252
2020-02-18T19:49:34.501     437.00545629     437.00544960    437.00546296   437.00566339     437.00565675    437.00567001   437.00561236     437.00560586    437.00561885
2020-02-18T19:50:34.501     437.00389323     437.00388426    437.00390219   437.00409469     437.00408560    437.00410377   437.00408359     437.00407476    437.00409240
2020-02-18T19:51:34.501     437.00189211     437.00188121    437.00190301   437.00204585     437.00203459    437.00205711   437.00210142     437.00209054    437.00211230
2020-02-18T19:52:34.501     436.99962245     436.99961095    436.99963396   436.99968804     436.99967605    436.99970004   436.99982011     436.99980847    436.99983176
2020-02-18T19:53:34.501     436.99740789     436.99739751    436.99741828   436.99737911     436.99736832    436.99738992   436.99756481     436.99755418    436.99757544
2020-02-18T19:54:34.501     436.99553719     436.99552896    436.99554544   436.99544385     436.99543540    436.99545232   436.99564371     436.99563524    436.99565219
2020-02-18T19:55:34.501     436.99411714     436.99411114    436.99412316   436.99399610     436.99399004    436.99400218   436.99418094     436.99417476    436.99418714
2020-02-18T19:56:34.501     436.99310496     436.99310076    436.99310916   436.99298083     436.99297666    436.99298501   436.99313893     436.99313462    436.99314325
2020-02-18T19:57:34.501     436.99240569     436.99240282    436.99240856   436.99229000     436.99228719    436.99229282   436.99242066     436.99241772    436.99242361
2020-02-18T19:58:34.501     436.99193042     436.99192849    436.99193236   436.99182688     436.99182500    436.99182875   436.99193369     436.99193171    436.99193567
2020-02-18T19:59:34.501     436.99161255     436.99161127    436.99161383   436.99152122     436.99152000    436.99152245   436.99160859     436.99160729    436.99160990
2020-02-18T20:00:34.501     436.99140613     436.99140532    436.99140694   436.99132575     436.99132500    436.99132651   436.99139763     436.99139680    436.99139846
Access Number: 1            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-18T21:25:25.173     437.00879252     437.00879071    437.00879434   437.00893050     437.00892889    437.00893209   437.00884199     437.00884029    437.00884370
2020-02-18T21:26:25.173     437.00830772     437.00830455    437.00831087   437.00849814     437.00849529    437.00850098   437.00838630     437.00838333    437.00838927
2020-02-18T21:27:25.173     437.00746087     437.00745533    437.00746641   437.00772640     437.00772128    437.00773149   437.00758847     437.00758323    437.00759368
2020-02-18T21:28:25.173     437.00597719     437.00596756    437.00598681   437.00633408     437.00632488    437.00634326   437.00618380     437.00617464    437.00619294
2020-02-18T21:29:25.173     437.00350308     437.00348788    437.00351825   437.00390836     437.00389309    437.00392360   437.00380833     437.00379357    437.00382305
2020-02-18T21:30:25.173     437.00005689     437.00003851    437.00007528   437.00035051     437.00033112    437.00036990   437.00040411     437.00038563    437.00042259
2020-02-18T21:31:25.173     436.99659078     436.99657544    436.99660615   436.99666205     436.99664570    436.99667842   436.99686084     436.99684492    436.99687678
2020-02-18T21:32:25.173     436.99408084     436.99407106    436.99409064   436.99401353     436.99400337    436.99402373   436.99423812     436.99422785    436.99424842
2020-02-18T21:33:25.173     436.99257011     436.99256447    436.99257576   436.99246497     436.99245929    436.99247067   436.99265107     436.99264515    436.99265700
2020-02-18T21:34:25.173     436.99170686     436.99170365    436.99171009   436.99160545     436.99160229    436.99160862   436.99174681     436.99174345    436.99175017
2020-02-18T21:35:25.173     436.99121219     436.99121034    436.99121405   436.99112447     436.99112269    436.99112625   436.99123079     436.99122886    436.99123272
2020-02-18T21:36:25.173     436.99092782     436.99092676    436.99092888   436.99085369     436.99085270    436.99085469   436.99093485     436.99093376    436.99093596
2020-02-18T21:37:25.173     436.99076939     436.99076882    436.99076995   436.99070646     436.99070595    436.99070698   436.99076972     436.99076914    436.99077032
2020-02-18T21:38:25.173     436.99069117     436.99069093    436.99069141   436.99063698     436.99063678    436.99063718   436.99068732     436.99068707    436.99068758
2020-02-18T21:39:25.173     436.99066738     436.99066737    436.99066739   436.99061988     436.99061986    436.99061990   436.99066070     436.99066068    436.99066072
2020-02-18T21:40:25.173     436.99068279     436.99068263    436.99068294   436.99064040     436.99064022    436.99064058   436.99067404     436.99067389    436.99067419
Access Number: 2            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
